dataset,method,seed,step,epoch,loss,eval_loss,eval_denotation_accuracy,gate_loss,gate_sparsity,gate_entropy,gate_diversity,learning_rate,grad_norm,run_dir,eval_runtime,eval_samples_per_second,eval_steps_per_second,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
wikisql,m3_gate,42,25,0.010646603733409043,5.7957,,,,,,,1.44e-05,14.892306327819824,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,25,0.010646603733409043,,,,0.015690144151449203,0.5010619163513184,0.6926463842391968,0.9990234375,,,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,50,0.021293207466818086,3.4026,,,,,,,2.94e-05,8.627301216125488,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,50,0.021293207466818086,,,,0.015690922737121582,0.5011417865753174,0.6926270723342896,0.9990234375,,,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,75,0.031939811200227125,3.018,,,,,,,2.9242105263157893e-05,8.762542724609375,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,75,0.031939811200227125,,,,0.015690062195062637,0.5010552406311035,0.6926319003105164,0.9990234375,,,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,100,0.04258641493363617,2.8148,,,,,,,2.845263157894737e-05,16.236120223999023,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,100,0.04258641493363617,,,,0.015689095482230186,0.5009581446647644,0.6926370859146118,0.9990234375,,,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,125,0.05323301866704521,2.701,,,,,,,2.7663157894736842e-05,9.718265533447266,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,125,0.05323301866704521,,,,0.015688560903072357,0.50090491771698,0.6926326751708984,0.9990234375,,,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,150,0.06387962240045425,2.6278,,,,,,,2.687368421052632e-05,9.005300521850586,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,150,0.06387962240045425,,,,0.015686998143792152,0.5007495880126953,0.6926251649856567,0.9990234375,,,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,175,0.0745262261338633,2.6075,,,,,,,2.6084210526315788e-05,11.231167793273926,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,175,0.0745262261338633,,,,0.015687555074691772,0.500805675983429,0.6926203966140747,0.9990234375,,,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,200,0.08517282986727234,2.5163,,,,,,,2.5294736842105264e-05,9.81397533416748,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,200,0.08517282986727234,,,,0.015689708292484283,0.5010210275650024,0.6926214098930359,0.9990234375,,,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,225,0.09581943360068139,2.383,,,,,,,2.4505263157894737e-05,8.498663902282715,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,225,0.09581943360068139,,,,0.0156889408826828,0.5009446740150452,0.6926149129867554,0.9990234375,,,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
wikisql,m3_gate,42,250,0.10646603733409042,2.4682,,,,,,,2.371578947368421e-05,8.320377349853516,models/research_runs_gate_progressive/wikisql/m3_gate/seed_42,,,,,,,,
